Date,AAPL,AMZN
1997-05-15,0.13354024291038513,0.09791699796915054
1997-05-16,0.12977875769138336,0.0864579975605011
1997-05-19,0.12789800763130188,0.0854170024394989
1997-05-20,0.12977875769138336,0.08177100121974945
1997-05-21,0.1269577145576477,0.07135400176048279
1997-05-22,0.12507691979408264,0.0697920024394989
1997-05-23,0.1269577145576477,0.07500000298023224
1997-05-27,0.12977875769138336,0.07916700094938278
1997-05-28,0.12789800763130188,0.07656300067901611
1997-05-29,0.12507691979408264,0.07525999844074249
1997-05-30,0.12507691979408264,0.07500000298023224
1997-06-02,0.1274278312921524,0.07552099972963333
1997-06-03,0.12554709613323212,0.07395800203084946
1997-06-04,0.12507691979408264,0.0708329975605011
1997-06-05,0.12554709613323212,0.07708299905061722
1997-06-06,0.12601728737354279,0.08281300216913223
1997-06-09,0.12507691979408264,0.08437500149011612
1997-06-10,0.12225501239299774,0.07916700094938278
1997-06-11,0.12272518873214722,0.07708299905061722
1997-06-12,0.12084446847438812,0.08020800352096558
1997-06-13,0.11896371841430664,0.07916700094938278
1997-06-16,0.11661281436681747,0.07864599674940109
1997-06-17,0.12296023219823837,0.07525999844074249
1997-06-18,0.11990407109260559,0.07552099972963333
1997-06-19,0.11849354207515717,0.07552099972963333
1997-06-20,0.11708298325538635,0.07630199939012527
1997-06-23,0.11567245423793793,0.07500000298023224
1997-06-24,0.11520226299762726,0.07552099972963333
1997-06-25,0.11379168182611465,0.07552099972963333
1997-06-26,0.11049962043762207,0.07552099972963333
1997-06-27,0.11049962043762207,0.07447899878025055
1997-06-30,0.10720831900835037,0.07708299905061722
1997-07-01,0.09921523183584213,0.07578100264072418
1997-07-02,0.09827400743961334,0.07942699640989304
1997-07-03,0.1029767096042633,0.09557300060987473
1997-07-07,0.10391702502965927,0.10000000149011612
1997-07-08,0.10344687104225159,0.11510399729013443
1997-07-09,0.1029767096042633,0.11614599823951721
1997-07-10,0.09968540817499161,0.12812499701976776
1997-07-11,0.1142619177699089,0.11458300054073334
1997-07-14,0.11755319684743881,0.10677099972963333
1997-07-15,0.11990407109260559,0.12187500298023224
1997-07-16,0.12366556376218796,0.1166670024394989
1997-07-17,0.13165947794914246,0.11093799769878387
1997-07-18,0.13048402965068817,0.10781300067901611
1997-07-21,0.12154974788427353,0.10911499708890915
1997-07-22,0.12460590153932571,0.10677099972963333
1997-07-23,0.1213146299123764,0.11458300054073334
1997-07-24,0.11896371841430664,0.11302100121974945
1997-07-25,0.12225501239299774,0.11145800352096558
1997-07-28,0.12366556376218796,0.11614599823951721
1997-07-29,0.12413573265075684,0.12395799905061722
1997-07-30,0.1307191103696823,0.12239599972963333
1997-07-31,0.13165947794914246,0.11979199945926666
1997-08-01,0.14435528218746185,0.12083300203084946
1997-08-04,0.1485869437456131,0.11562500149011612
1997-08-05,0.1485869437456131,0.11041700094938278
1997-08-06,0.19795943796634674,0.11249999701976776
1997-08-07,0.2195894867181778,0.10885400325059891
1997-08-08,0.20172084867954254,0.11458300054073334
1997-08-11,0.18479348719120026,0.11640600115060806
1997-08-12,0.1659853160381317,0.10989599674940109
1997-08-13,0.17774078249931335,0.10989599674940109
1997-08-14,0.1730380803346634,0.10781300067901611
1997-08-15,0.17491883039474487,0.10572899878025055
1997-08-18,0.17774078249931335,0.1020829975605011
1997-08-19,0.1838531196117401,0.10833299905061722
1997-08-20,0.18526361882686615,0.10833299905061722
1997-08-21,0.18056181073188782,0.10572899878025055
1997-08-22,0.17774078249931335,0.10625000298023224
1997-08-25,0.17350822687149048,0.11093799769878387
1997-08-26,0.16739590466022491,0.1171879991889
1997-08-27,0.17068713903427124,0.11588499695062637
1997-08-28,0.16551516950130463,0.11874999850988388
1997-08-29,0.1636335700750351,0.11692699790000916
